MCC_OBN_ID,MCC_TIPO_MOVIMIENTO,MCC_IMPORTE,MCC_FECHA_BAJA,MCC_TIPO_ORIGEN,MCC_CCC_ID,MCC_FECHA_MOVIMIENTO,OBN_PERIODO,OBN_CUOTA,OBN_TIPO_OBJETO_ID,OBN_OBJETO_ID,FECHA_PAGO,FECHA_PROCESO,OBJETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,6.19,01/01/1900,PAO,132,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,6.19,01/01/1900,PSV,132,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,14.49,17/04/2019,FAO,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,14.49,01/01/1900,PSV,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,14.49,17/04/2019,FAO,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,14.49,01/01/1900,PSV,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,14.49,01/01/1900,PAO,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,14.49,01/01/1900,PAO,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,28.98,17/04/2019,PSV,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,28.98,17/04/2019,PSV,136,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,5.7,17/04/2019,FAO,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,5.7,01/01/1900,PAO,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,5.7,01/01/1900,PSV,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,5.7,01/01/1900,PSV,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,5.7,01/01/1900,PAO,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,5.7,17/04/2019,FAO,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,11.4,17/04/2019,PSV,136,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
